"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test verifies the Salesforce login flow using valid user credentials.","3276","Adding to cart","chromium","Tue Nov 04 22:17:59 IST 2025","passed","Tue Nov 04 22:18:03 IST 2025","","Add_to_cart.spec.ts","",""
"","2914","login to page","chromium","Tue Nov 04 22:17:59 IST 2025","passed","Tue Nov 04 22:18:02 IST 2025","","LoginPage_test.spec.ts","",""
